Date,Category,Region,Quantity,Average_Price,Promotion,Holiday,Sales
2023-01-01,Electronics,North,81,667.07,No,Yes,54032.89
2023-01-01,Electronics,South,80,620.38,No,Yes,49630.03
2023-01-01,Electronics,East,75,649.62,No,Yes,48721.33
2023-01-01,Electronics,West,91,667.69,No,Yes,60760.22
2023-01-01,Furniture,North,91,528.51,No,Yes,48094.29
2023-01-01,Furniture,South,88,502.55,No,Yes,44224.25
2023-01-01,Furniture,East,78,516.64,No,Yes,40297.57
2023-01-01,Furniture,West,96,517.19,No,Yes,49650.01
2023-01-01,Office Supplies,North,132,244.47,No,Yes,32270.22
2023-01-01,Office Supplies,South,146,243.62,Yes,Yes,35568.36
2023-01-01,Office Supplies,East,120,235.7,No,Yes,28283.66
2023-01-01,Office Supplies,West,139,249.48,No,Yes,34678.19
2023-02-01,Electronics,North,88,631.24,No,No,55549.39
2023-02-01,Electronics,South,86,662.36,No,No,56962.68
2023-02-01,Electronics,East,78,652.65,No,No,50907.06
2023-02-01,Electronics,West,94,655.09,No,No,61578.16
2023-02-01,Furniture,North,89,525.26,No,No,46748.32
2023-02-01,Furniture,South,81,514.18,No,No,41648.74
2023-02-01,Furniture,East,77,514.99,No,No,39654.42
2023-02-01,Furniture,West,86,537.62,No,No,46235.55
2023-02-01,Office Supplies,North,136,241.37,No,No,32825.93
2023-02-01,Office Supplies,South,133,246.66,No,No,32806.33
2023-02-01,Office Supplies,East,129,247.21,Yes,No,31889.7
2023-02-01,Office Supplies,West,140,230.48,No,No,32267.25
2023-03-01,Electronics,North,105,653.24,Yes,No,68590.22
2023-03-01,Electronics,South,96,653.61,Yes,No,62746.25
2023-03-01,Electronics,East,88,660.39,Yes,No,58114.46
2023-03-01,Electronics,West,106,641.32,Yes,No,67979.44
2023-03-01,Furniture,North,109,511.46,Yes,No,55748.8
2023-03-01,Furniture,South,100,528.13,Yes,No,52812.69
2023-03-01,Furniture,East,92,512.3,Yes,No,47131.23
2023-03-01,Furniture,West,105,493.66,Yes,No,51834.57
2023-03-01,Office Supplies,North,152,243.36,Yes,No,36990.43
2023-03-01,Office Supplies,South,145,250.91,Yes,No,36382.46
2023-03-01,Office Supplies,East,122,238.27,No,No,29069.47
2023-03-01,Office Supplies,West,159,247.06,Yes,No,39282.32
2023-04-01,Electronics,North,95,655.41,No,No,62263.81
2023-04-01,Electronics,South,84,651.64,No,No,54737.84
2023-04-01,Electronics,East,83,650.5,No,No,53991.26
2023-04-01,Electronics,West,99,626.72,No,No,62044.83
2023-04-01,Furniture,North,92,544.74,No,No,50115.82
2023-04-01,Furniture,South,87,546.63,No,No,47556.99
2023-04-01,Furniture,East,84,503.14,No,No,42263.45
2023-04-01,Furniture,West,90,531.56,No,No,47840.38
2023-04-01,Office Supplies,North,159,231.47,Yes,No,36803.59
2023-04-01,Office Supplies,South,136,256.77,No,No,34921.07
2023-04-01,Office Supplies,East,136,231.69,No,No,31509.55
2023-04-01,Office Supplies,West,157,233.17,No,No,36607.89
2023-05-01,Electronics,North,91,646.8,No,No,58858.53
2023-05-01,Electronics,South,90,646.39,No,No,58175.2
2023-05-01,Electronics,East,77,638.94,No,No,49198.11
2023-05-01,Electronics,West,92,690.22,No,No,63500.28
2023-05-01,Furniture,North,100,510.91,No,No,51091.28
2023-05-01,Furniture,South,88,506.8,No,No,44598.48
2023-05-01,Furniture,East,77,535.26,No,No,41215.06
2023-05-01,Furniture,West,100,527.01,No,No,52700.61
2023-05-01,Office Supplies,North,149,234.5,No,No,34940.47
2023-05-01,Office Supplies,South,142,229.7,No,No,32618.1
2023-05-01,Office Supplies,East,122,253.26,No,No,30898.25
2023-05-01,Office Supplies,West,148,242.4,No,No,35875.34
2023-06-01,Electronics,North,104,640.65,Yes,No,66627.75
2023-06-01,Electronics,South,94,684.94,Yes,No,64384.21
2023-06-01,Electronics,East,88,618.87,Yes,No,54460.95
2023-06-01,Electronics,West,113,645.92,Yes,No,72988.5
2023-06-01,Furniture,North,114,499.85,Yes,No,56983.1
2023-06-01,Furniture,South,102,512.82,Yes,No,52307.46
2023-06-01,Furniture,East,88,526.14,Yes,No,46300.66
2023-06-01,Furniture,West,104,531.72,Yes,No,55298.85
2023-06-01,Office Supplies,North,163,232.92,Yes,No,37965.45
2023-06-01,Office Supplies,South,147,237.19,Yes,No,34867.42
2023-06-01,Office Supplies,East,131,240.26,Yes,No,31473.71
2023-06-01,Office Supplies,West,170,235.93,Yes,No,40108.61
2023-07-01,Electronics,North,89,662.24,No,No,58939.55
2023-07-01,Electronics,South,84,634.17,No,No,53270.05
2023-07-01,Electronics,East,86,654.02,Yes,No,56245.47
2023-07-01,Electronics,West,89,655.19,No,No,58312.11
2023-07-01,Furniture,North,98,504.47,No,No,49438.16
2023-07-01,Furniture,South,80,509.25,No,No,40739.93
2023-07-01,Furniture,East,93,506.73,Yes,No,47125.95
2023-07-01,Furniture,West,82,517.04,No,No,42397.24
2023-07-01,Office Supplies,North,137,232.63,No,No,31870.91
2023-07-01,Office Supplies,South,126,227.68,No,No,28687.28
2023-07-01,Office Supplies,East,117,230.79,No,No,27002.08
2023-07-01,Office Supplies,West,165,230.16,No,No,37976.21
2023-08-01,Electronics,North,83,689.33,No,Yes,57214.21
2023-08-01,Electronics,South,79,667.68,No,Yes,52747.07
2023-08-01,Electronics,East,75,646.96,No,Yes,48521.66
2023-08-01,Electronics,West,89,643.94,No,Yes,57310.63
2023-08-01,Furniture,North,84,528.58,No,Yes,44400.89
2023-08-01,Furniture,South,83,526.4,No,Yes,43691.36
2023-08-01,Furniture,East,78,506.87,No,Yes,39535.68
2023-08-01,Furniture,West,93,558.1,Yes,Yes,51902.9
2023-08-01,Office Supplies,North,141,233.59,No,Yes,32936.24
2023-08-01,Office Supplies,South,135,230.66,No,Yes,31138.53
2023-08-01,Office Supplies,East,118,244.03,No,Yes,28795.92
2023-08-01,Office Supplies,West,143,243.82,No,Yes,34865.85
2023-09-01,Electronics,North,81,651.19,No,No,52746.68
2023-09-01,Electronics,South,75,653.47,No,No,49010.31
